id,isbn,isbn13,title,num_pages,partOf_series,series_id,publisher,publication_year,avg_rating,ratings_cnt,author_id,date_added,start_date,finish_date,myRating,myReview,readStatus
3515153002,075640407X,9780756404079,"The Name of the Wind (The Kingkiller Chronicle, #1)",662,,,Penguin Group DAW,2007,4.53,707337,108424,2020-08-25,,,0,,to-read
3515152405,1523231467,9781523231461,The Irrationality Illusion: How To Make Smart Decisions And Overcome Bias,,,,,,3.80,15,6152615,2020-08-25,,,0,,to-read
3515152154,000712774X,9780007127740,The Illustrated Man,186,,,Voyager Classics / Harper Collins,2002,4.13,78041,1630,2020-08-25,,,0,,to-read
3515151950,0553283685,9780553283686,"Hyperion (Hyperion Cantos, #1)",482,,,Bantam Spectra,1990,4.23,184989,2687,2020-08-25,,,0,,to-read
3515151771,1566630193,9781566630191,The Hedgehog and the Fox: An Essay on Tolstoy's View of History,96,,,Ivan R. Dee Publisher,1993,4.10,1327,45752,2020-08-25,,,0,,to-read
3515151006,1863955321,9781863955324,The Hall of Uselessness: Collected Essays,464,,,Black Inc.,2011,4.26,300,269491,2020-08-25,,,0,,to-read
3515150768,1250118719,9781250118714,The Forgetting Time,368,,,Flatiron Books,2016,3.80,27352,13975392,2020-08-25,,,0,,to-read
3515150445,0060510862,9780060510862,"The Forever War (The Forever War, #1)",278,,,Voyager,2003,4.14,137892,12476,2020-08-25,,,0,,to-read
3515150191,1780481012,9781780481012,The Farseer Trilogy (Farseer Trilogy #1-3),1952,,,Harper Voyager,2013,4.37,18604,25307,2020-08-25,,,0,,to-read
3515149764,0142001805,9780142001806,"The Eyre Affair (Thursday Next, #1)",374,,,Penguin Group,2003,3.88,117786,4432,2020-08-25,,,0,,to-read
3515149002,0441203981,9780441203987,"Elric of Melniboné (The Elric Saga, #1)",181,,,Ace Books,1987,3.89,22851,16939,2020-08-25,,,0,,to-read
3515148739,0340839937,9780340839935,"Dune (Dune Chronicles, #1)",604,,,Hodder & Stoughton,2006,4.23,748849,58,2020-08-25,,,0,,to-read
3515148528,,,"The Dispossessed (Hainish Cycle, #6)",387,,,Harper Voyager,1994,4.21,86219,874602,2020-08-25,,,0,,to-read
3515148335,0553380966,9780553380965,"The Diamond Age: Or, A Young Lady's Illustrated Primer",499,,,Spectra,2000,4.17,82098,545,2020-08-25,,,0,,to-read
3515146770,9123690976,9789123690978,Iain m banks culture series 10 books collection set,,,,,,4.61,18,5807106,2020-08-25,,,0,,to-read
3515146014,0060548258,9780060548254,"The Crystal Cave (Arthurian Saga, #1)",494,,,Eos,2003,4.13,41716,15590,2020-08-25,,,0,,to-read
3515145689,1302915029,9781302915025,"Conan the Barbarian, Vol. 1: The Life and Death of Conan, Book One",144,,,Marvel,2019,4.05,474,580494,2020-08-25,,,0,,to-read
3515144860,3200306955,9783200306950,"The Codex Alera (Codex Alera, #1-6)",,,,,,4.61,969,10746,2020-08-25,,,0,,to-read
3515143588,0380014300,9780380014309,Nine Princes in Amber (The Chronicles of Amber #1),175,,,Avon,1986,4.07,50590,3619,2020-08-25,,,0,,to-read
3515143212,030727103X,9780307271037,The Buried Giant,317,,,Alfred A. Knopf,2015,3.51,71707,4280,2020-08-25,,,0,,to-read
3515143015,067003830X,9780670038305,The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,427,,,Viking,2007,4.19,30477,311849,2020-08-25,,,0,,to-read
3515142582,0671540661,9780671540661,"The Shadow of the Torturer (The Book of the New Sun, #1)",262,,,Pocket Books,1984,3.80,21394,23069,2020-08-25,,,0,,to-read
3515142343,0345468643,9780345468642,"Pawn of Prophecy (The Belgariad, #1)",,,,,,4.15,93262,8732,2020-08-25,,,0,,to-read
3515142061,0062315005,9780062315007,The Alchemist,182,,,HarperOne,2014,3.88,2086441,566,2020-08-25,,,0,,to-read
3515141891,1937832058,9781937832056,Tax-Free Wealth: How to Build Massive Wealth by Permanently Lowering Your Taxes,282,,,"RDA Press, LLC",2015,4.25,945,5391363,2020-08-25,,,0,,to-read
3515141610,0385528752,9780385528757,Switch: How to Change Things When Change Is Hard,305,,,Currency,2010,4.04,42198,39021,2020-08-25,,,0,,to-read
3515141304,0515138819,9780515138818,Sunshine,405,,,Jove,2004,3.85,36838,5339,2020-08-25,,,0,,to-read
3515140866,0525429840,9780525429845,Streetfight: Handbook for an Urban Revolution,368,,,Viking,2016,4.29,1129,10449476,2020-08-25,,,0,,to-read
3515140594,0441788386,9780441788385,Stranger in a Strange Land,525,,,Ace,1991,3.92,274231,205,2020-08-25,2020-08-26,,0,,currently-reading
3515139862,0451457811,9780451457813,"Storm Front (The Dresden Files, #1)",384,,,Penguin ROC,2000,4.00,288859,10746,2020-08-25,,,0,,to-read
3515139698,0375725350,9780375725357,Status Anxiety,306,,,Vintage,2005,3.91,12738,13199,2020-08-25,,,0,,to-read
3515139367,0441783589,9780441783588,Starship Troopers,335,,,Ace Book,1987,4.00,190198,205,2020-08-25,,,0,,to-read
3515139004,0786175354,9780786175352,Something Wicked This Way Comes & A Sound of Thunder,8,,,Blackstone Audio,2005,4.04,560,1630,2020-08-25,,,0,,to-read
3515138111,1455509108,9781455509102,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,288,,,Business Plus,2012,4.11,26559,147891,2020-08-25,,,0,,to-read
3515137825,0553380958,9780553380958,Snow Crash,438,,,Bantam Books,2000,4.02,235695,545,2020-08-25,,,0,,to-read
3515137681,0552152978,9780552152976,"Small Gods (Discworld, #13)",400,,,Corgi,2005,4.30,98831,1654,2020-08-25,,,0,,to-read
3515137533,150116340X,9781501163401,Sleeping Beauties,702,,,Scribner,2017,3.73,63340,3389,2020-08-25,,,0,,to-read
3515137241,1623367395,9781623367398,"Sleep Smarter: 21 Essential Strategies to Sleep Your Way to A Better Body, Better Health, and Bigger Success",288,,,Rodale Books,2016,4.03,4783,8284103,2020-08-25,,,0,,to-read
3515136903,1682617149,9781682617144,Behind the Murder Curtain: Special Agent Bruce Sackman Hunts Doctors and Nurses Who Kill Our Veterans,208,,,Post Hill Press,2018,3.81,52,17833805,2020-08-25,,,0,,to-read
3515136692,1101913967,9781101913963,Skyfaring: A Journey with a Pilot,,,,Random House Audio,2015,3.94,2927,8393515,2020-08-25,,,0,,to-read
3515136517,0300078153,9780300078152,Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed,445,,,Yale University Press,1998,4.20,3151,11958,2020-08-25,,,0,,to-read
3515136307,1603811184,9781603811187,Sacred Ground & Holy Water: One Man's Adventures in the Wild,198,,,Coffeetown Press,2011,3.94,16,4580218,2020-08-25,,,0,,to-read
3515135732,1101513853,9781101513859,"Running on Empty: An Ultramarathoner's Story of Love, Loss, and a Record-Setting Run Across America",320,,,Avery Publishing Group,2011,3.75,2189,4500913,2020-08-25,,,0,,to-read
3515135263,0340640146,9780340640142,Rose Madder,595,,,Hodder and Stoughton,1995,3.71,96150,3389,2020-08-25,,,0,,to-read
3515134889,0586062009,9780586062005,"Robots and Empire (Robot, #4)",512,,,Voyager,1996,4.21,25966,16667,2020-08-25,,,0,,to-read
3515134650,0441011837,9780441011834,Robot Dreams (Robot #0.4),,,,,,4.16,9821,16667,2020-08-25,,,0,,to-read
3515134409,0575077026,9780575077027,"Ringworld (Ringworld, #1)",288,,,Gollancz,2005,3.96,103556,12534,2020-08-25,,,0,,to-read
3515134195,0253212340,9780253212344,Riddley Walker,256,,,Indiana University Press,1998,4.02,6971,12076,2020-08-25,,,0,,to-read
3515133918,1857231589,9781857231588,"Rendezvous with Rama (Rama, #1)",243,,,,2000,4.10,132718,7779,2020-08-25,,,0,,to-read
3515133661,0316323705,9780316323703,Rebecca,449,,,"Little, Brown and Company",2013,4.23,442562,2001717,2020-08-25,,,0,,to-read
3515133229,081297106X,9780812971064,Reading Lolita in Tehran: A Memoir in Books,356,,,Random House Trade Paperbacks,2003,3.62,116874,5151,2020-08-25,,,0,,to-read
3515132820,0099399016,9780099399018,Portnoy's Complaint,274,,,Vintage,1995,3.70,57725,463,2020-08-25,,,0,,to-read
3515132574,1619027917,9781619027916,Piano Tide,240,,,Counterpoint,2016,3.81,217,371383,2020-08-25,,,0,,to-read
3515132396,0345459407,9780345459404,"Perdido Street Station (New Crobuzon, #1)",623,,,Ballantine Del Rey,2003,3.96,58939,33918,2020-08-25,,,0,,to-read
3515132145,,,Dark Star Rising Second Edition (Pebbles in The Sky Book 1),,,,,,3.71,14,8381766,2020-08-25,,,0,,to-read
3515132047,0553293427,9780553293425,Pebble in the Sky (Galactic Empire #3),308,,,Bantam,1991,3.88,18678,16667,2020-08-25,,,0,,to-read
3515131668,0525952659,9780525952657,Other People's Money: Inside the Housing Crisis and the Demise of the Greatest Real Estate Deal Ever M ade,416,,,Dutton,2013,3.94,390,6462483,2020-08-25,,,0,,to-read
3515131354,0765348276,9780765348272,"Old Man's War (Old Man's War, #1)",355,,,Tor Books,2007,4.22,158905,4763,2020-08-25,,,0,,to-read
3515131136,1846682886,9781846682889,Obliquity: Why Our Goals Are Best Achieved Indirectly,224,,,Profile Books,2010,3.61,898,10137,2020-08-25,,,0,,to-read
3515130834,0060557818,9780060557812,"Neverwhere (London Below, #1)",370,,,William Morrow Paperbacks,2003,4.17,425487,1221698,2020-08-25,,,0,,to-read
3515129945,1400078776,9781400078776,Never Let Me Go,288,,,Vintage Books,2010,3.82,466678,4280,2020-08-25,,,0,,to-read
3515129707,1473217385,9781473217386,"Neuromancer (Sprawl, #1)",297,,,Gollancz,2016,3.90,260678,9226,2020-08-25,,,0,,to-read
3515129314,0140055770,9780140055771,My Uncle Oswald,208,,,Penguin (Non-Classics),1986,3.88,10338,4273,2020-08-25,,,0,,to-read
3515129053,039335279X,9780393352795,Misbehaving: The Making of Behavioral Economics,432,,,W. W. Norton  Company,2016,4.19,14041,65483,2020-08-25,,,0,,to-read
3515128795,0989653943,9780989653947,Move Your DNA Restore Your Health Through Natural Movement,240,,,Propriometrics Press,2014,4.38,1734,5051711,2020-08-25,,,0,,to-read
3515128581,0670023671,9780670023677,Mountains of the Moon,368,,,Viking,2012,3.50,371,5626406,2020-08-25,,,0,,to-read
3515125214,0671039105,9780671039103,"Mirage (Isaac Asimov's Robot Mystery, #1)",464,,,,2000,4.12,316,261107,2020-08-25,,,0,,to-read
3515124987,080701429X,9780807014295,Man's Search for Meaning,165,,,Beacon Press,2006,4.36,392313,2782,2020-08-25,,,0,,to-read
3515124737,0738215988,9780738215983,"Making Habits, Breaking Habits: Why We Do Things, Why We Don't, and How to Make Any Change Stick",272,,,Da Capo Lifelong Books,2013,3.68,2134,6428649,2020-08-25,,,0,,to-read
3515124458,1400064287,9781400064281,Made to Stick: Why Some Ideas Survive and Others Die,291,,,Random House,2007,3.96,73628,39021,2020-08-25,,,0,,to-read
3515123945,0449208133,9780449208137,Lucifer's Hammer,629,,,Fawcett Crest,1977,3.99,39591,12534,2020-08-25,,,0,,to-read
3515123588,0805210318,9780805210316,Light on Yoga,544,,,Schocken Books Inc,1979,4.28,8160,78286,2020-08-25,,,0,,to-read
3515123217,0143111728,9780143111726,Find Your Why: A Practical Guide to Discovering Purpose for You and Your Team,256,,,Portfolio,2017,3.68,4895,3158574,2020-08-25,,,0,,to-read
3515123191,1591845327,9781591845324,Leaders Eat Last,350,,,Portfolio,2014,4.14,28916,3158574,2020-08-25,,,0,,to-read
3515123152,1591842808,9781591842804,Start with Why: How Great Leaders Inspire Everyone to Take Action,256,,,Portfolio,2009,4.09,118418,3158574,2020-08-25,,2020-04-01,0,,read
3515122900,1630470171,9781630470173,Launch: How Ordinary People Are Creating Extraordinary Success Online,215,,,Morgan James Publishing,2014,4.05,2429,17925311,2020-08-25,,,0,,to-read
3515122395,1781162646,9781781162644,Joyland,283,,,Hard Case Crime,2013,3.91,115816,3389,2020-08-25,,,0,,to-read
3515121922,1582346038,9781582346038,Jonathan Strange & Mr Norrell,849,,,Bloomsbury,2005,3.82,195395,8842,2020-08-25,,,0,,to-read
3515121494,0441002455,9780441002450,"Utopia (Isaac Asimov's Caliban, #3)",,,,Ace Trade,1996,4.05,904,23559,2020-08-25,,,0,,to-read
3515121469,0441005144,9780441005147,"Inferno (Isaac Asimov's Caliban, #2)",320,,,Ace Books,1998,3.88,979,23559,2020-08-25,,,0,,to-read
3515121359,0441004822,9780441004829,"Isaac Asimov's Caliban (Isaac Asimov's Caliban, #1)",312,,,Ace,1997,3.98,4023,23559,2020-08-25,,,0,,to-read
3515121080,1608195384,9781608195381,It's All About the Bike: The Pursuit of Happiness on Two Wheels,208,,,Bloomsbury USA,2011,3.97,1958,3860489,2020-08-25,,,0,,to-read
3515120683,1586174894,9781586174897,In Defense of Sanity: The Best Essays of G.K. Chesterton,405,,,Ignatius Press,2011,4.44,474,7014283,2020-08-25,,,0,,to-read
3515120526,0060817321,9780060817329,I Am Not Myself These Days,305,,,Harper Perennial,2006,3.97,12186,63356,2020-08-25,,,0,,to-read
3515120355,1857988094,9781857988093,I Am Legend,160,,,Millennium,1999,4.07,94438,8726,2020-08-25,,,0,,to-read
3515119992,0151001367,9780151001361,How to Travel with a Salmon and Other Essays,248,,,Houghton Mifflin,1994,3.85,5644,1730,2020-08-25,,,0,,to-read
3515119702,0451499603,9780451499608,How to Think: A Survival Guide for a World at Odds,160,,,Currency,2017,3.98,2711,3957,2020-08-25,,,0,,to-read
3515119477,0679743464,9780679743460,Hard-Boiled Wonderland and the End of the World,400,,,Vintage,1993,4.15,104702,3354,2020-08-25,,,0,,to-read
3515118218,0553803700,9780553803709,"I, Robot (Robot, #0.1)",224,,,Spectra,2004,4.20,273657,16667,2020-08-25,,,0,,to-read
3515118183,0553293400,9780553293401,"The Caves of Steel (Robot, #1)",270,,,Spectra/Bantam Books,1991,4.17,78798,16667,2020-08-25,,,0,,to-read
